기능,도메인,Method,URL,Query Params,Request,Response,담당자
헬스체크,공통,GET,/api/v1/health,,,"Response (200 OK)
{ ""status"": ""healthy"",
  ""version"": ""string"",
  ""uptime_seconds"": 12345,
  ""database"": ""connected"",
  ""opensearch"": ""connected"" }",
회원가입,사용자,POST,/api/v1/auth/signup,,"Request Body:
{ ""email"": ""string"",
  ""password"": ""string"",
  ""nickname"": ""string"" }","Response (201 Created)
{ ""access_token"": ""string"",
  ""token_type"": ""bearer"",
  ""user"": {
    ""user_id"": ""uuid"",
    ""email"": ""string"",
    ""nickname"": ""string"",
    ""created_at"": ""ISO 8601""
  } }",
로그인,사용자,POST,/api/v1/auth/login,,"Request Body:
{ ""email"": ""string"",
  ""password"": ""string"" }","Response (200 OK)
{ ""access_token"": ""string"",
  ""token_type"": ""bearer"",
  ""user"": {
    ""user_id"": ""uuid"",
    ""email"": ""string"",
    ""nickname"": ""string""
  } }",
Google 소셜 로그인,사용자,POST,/api/v1/auth/google,,"Request Body:
{ ""id_token"": ""string"" }","Response (200 OK)
{ ""access_token"": ""string"",
  ""token_type"": ""bearer"",
  ""user"": {
    ""user_id"": ""uuid"",
    ""email"": ""string"",
    ""nickname"": ""string""
  },
  ""is_new_user"": true }",
비밀번호 변경,사용자,PATCH,/api/v1/users/me/password,,"Request Body:
{ ""old_password"": ""string"",
  ""new_password"": ""string"" }","Response (200 OK)
{ ""message"": ""Password updated"" }",
닉네임 변경,사용자,PATCH,/api/v1/users/me,,"Request Body:
{ ""nickname"": ""string"" }","Response (200 OK)
{ ""user_id"": ""uuid"",
  ""email"": ""string"",
  ""nickname"": ""string"",
  ""updated_at"": ""ISO 8601"" }",
채팅 시작 (WebSocket),채팅,WS,/api/v1/chat/ws,"• thread_id: 채팅 세션 ID (없으면 새로 생성)
• token: JWT 인증 토큰","Client → Server:
{ ""type"": ""message"",
  ""content"": ""string"" }","Server → Client:
{ ""type"": ""intent"" | ""status"" | ""text_stream"" | ""place"" | ""places"" | ""events"" | ""course"" | ""map_markers"" | ""map_route"" | ""chart"" | ""calendar"" | ""references"" | ""analysis_sources"" | ""disambiguation"" | ""done"" | ""error"",
  ""content"": {} }

• 1프레임 = 1블록 (JSON)
• done이 오면 응답 종료
• error에 retryable 플래그 포함",
WS: 행사 검색 (EVENT_SEARCH),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""이번 주말 서울 전시회"" }","응답 블록 순서:
intent → text_stream → events[] → done

events 블록:
{ ""items"": [
  { ""event_id"": ""uuid"",
    ""title"": ""string"",
    ""date_start"": ""date"",
    ""date_end"": ""date"",
    ""place_name"": ""string"",
    ""price"": ""string"",
    ""detail_url"": ""string"",
    ""source"": ""db"" | ""naver"" }
] }",
공유 대화 조회 (읽기 전용),공통,GET,/shared/{share_token},,,"Response (200 OK)
{ ""thread_title"": ""string"",
  ""messages"": [
    { ""role"": ""user"" | ""assistant"",
      ""blocks"": [...],
      ""created_at"": ""ISO 8601"" }
  ] }

• 인증 불필요 (공개 엔드포인트)
• 읽기 전용",
북마크 목록 조회,사용자,GET,/api/v1/users/me/bookmarks,"• thread_id (optional): 특정 대화 필터
• pin_type (optional): 핀 타입 필터
• cursor: 페이지네이션
• limit: 기본 20",,"Response (200 OK)
{ ""items"": [
    { ""bookmark_id"": ""uuid"",
      ""thread_id"": ""string"",
      ""thread_title"": ""string"",
      ""message_id"": ""string"",
      ""pin_type"": ""string"",
      ""preview_text"": ""string"",
      ""created_at"": ""ISO 8601"" }
  ],
  ""next_cursor"": ""string"" }",
북마크 생성,사용자,POST,/api/v1/users/me/bookmarks,,"Request Body:
{ ""thread_id"": ""string"",
  ""message_id"": ""string"",
  ""pin_type"": ""place"" | ""event"" | ""course"" | ""analysis"" | ""general"",
  ""preview_text"": ""string"" }","Response (201 Created)
{ ""bookmark_id"": ""uuid"",
  ""thread_id"": ""string"",
  ""message_id"": ""string"",
  ""pin_type"": ""string"",
  ""preview_text"": ""string"",
  ""created_at"": ""ISO 8601"" }",
북마크 삭제,사용자,DELETE,/api/v1/users/me/bookmarks/{bookmark_id},,,Response (204 No Content),
WS: 단일 장소 분석 (ANALYSIS),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""이 카페 분석해줘"" }","응답 블록 순서:
intent → text_stream → analysis_sources → done

text_stream 내용:
""맛 4.3 / 서비스 3.0 / 분위기 4.0 / 가성비 3.8 / 청결 3.0 / 접근성 4.7
키워드: 넓은 좌석, 친절한 직원
요약: ...""",
WS: 일정 추가 (CALENDAR),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""토요일 2시 경복궁 일정 추가"" }","응답 블록 순서:
intent → text_stream → calendar → done

calendar 블록:
{ ""event_title"": ""string"",
  ""start_time"": ""ISO 8601"",
  ""end_time"": ""ISO 8601"",
  ""location"": ""string"",
  ""calendar_link"": ""string"",
  ""status"": ""created"" | ""failed"" }",
WS: 코스 추천 (COURSE_PLAN),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""홍대 카페+맛집 코스"" }","응답 블록 순서:
intent → text_stream → course → map_route → done

course 블록:
{ ""course_id"": ""ULID"",
  ""title"": ""string"",
  ""total_duration_min"": 240,
  ""total_stay_min"": 210,
  ""total_transit_min"": 30,
  ""sections"": [{ ""id"": ""morning"", ""label_ko"": ""오전"", ""stop_orders"": [1,2] }],
  ""stops"": [{
    ""order"": 1,
    ""arrival_time"": ""11:00"",
    ""duration_min"": 60,
    ""place"": { ""place_id"": ""uuid"", ""name"": ""string"", ""category"": ""string"", ""location"": {""lat"":0,""lng"":0}, ""photo_url"": ""string"" },
    ""transit_to_next"": { ""mode"": ""walk"", ""distance_m"": 800, ""duration_min"": 12 } | null
  }]
}

map_route 블록:
{ ""course_id"": ""ULID"",
  ""markers"": [{ ""order"": 1, ""position"": {""lat"":0,""lng"":0}, ""label"": ""string"" }],
  ""polyline"": { ""type"": ""straight"", ""segments"": [{ ""from_order"": 1, ""to_order"": 2, ""mode"": ""walk"", ""coordinates"": [[lng,lat]] }] }
}",
WS: 이미지 검색 (IMAGE_SEARCH),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""image"",
  ""image_url"": ""string"",
  ""lat"": 37.55 (optional),
  ""lng"": 126.92 (optional) }","응답 블록 순서 (식별 성공):
intent → text_stream → place → done

응답 블록 순서 (유사 추천):
intent → text_stream → places[] → done

응답 블록 순서 (간판 복수):
intent → disambiguation[] → done

disambiguation:
{ ""options"": [""string"", ""string""] }",
WS: 비용 견적 (COST_ESTIMATE),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""강남 이탈리안 2인 얼마?"" }","응답 블록 순서:
intent → text_stream → done

text_stream 내용:
""강남 이탈리안 레스토랑 2인 기준
예상 비용: 약 8만~12만원
(출처: 네이버 블로그 가격 데이터)""",
WS: 예약 연동 (BOOKING),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""여기 예약해줘"" }","응답 블록 순서:
intent → text_stream → done

text_stream에 딕링크 포함:
""네이버 예약: https://booking.naver.com/...
카카오맵: https://place.map.kakao.com/...
전화: 02-XXX-XXXX""",
WS: 리뷰 비교 (REVIEW_COMPARE),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""스타벅스 vs 블루보틀 비교"" }","응답 블록 순서:
intent → text_stream → chart → analysis_sources → done

chart 블록:
{ ""chart_type"": ""radar"",
  ""places"": [
    { ""name"": ""string"",
      ""scores"": { ""taste"": 4.3, ""service"": 3.0, ""atmosphere"": 4.0, ""value"": 3.8, ""cleanliness"": 3.0, ""accessibility"": 4.7 } }
  ] }

analysis_sources 블록:
{ ""review_count"": 15, ""sources"": [""Google"", ""Naver""] }",
WS: 장소 검색 (PLACE_SEARCH),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""홍대 카페"" }","응답 블록 순서:
intent → text_stream → place[] → map_markers → done

place 블록:
{ ""place_id"": ""uuid"",
  ""name"": ""string"",
  ""category"": ""string"",
  ""address"": ""string"",
  ""location"": { ""lat"": 0.0, ""lng"": 0.0 },
  ""rating"": 4.5,
  ""photo_url"": ""string"",
  ""is_open_now"": true }",
WS: 장소 추천 (PLACE_RECOMMEND),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""카공하기 좋은 카페 추천"" }","응답 블록 순서:
intent → text_stream → places[] → map_markers → references → done

places 블록:
{ ""items"": [
  { ""place_id"": ""uuid"",
    ""name"": ""string"",
    ""recommendation_reason"": ""string"",
    ""scores"": { ... } | null,
    ""blog_links"": [{ ""title"": ""string"", ""url"": ""string"" }]
  }
] }",
WS: 혼잡도 (CROWDEDNESS),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""홍대 지금 붐변?"" }","응답 블록 순서:
intent → text_stream → done

text_stream 내용:
""현재 홍대입구역 일대는 '약간 붐빔' 상태입니다.
오후 2시 기준 생활인구 약 12,500명...""",
대화 공유 링크 생성,채팅,POST,/api/v1/chats/{thread_id}/share,,"Request Body:
{ ""thread_id"": ""string"",
  ""message_range"": {
    ""from_message_id"": ""string"" | null,
    ""to_message_id"": ""string"" | null
  }
}

• 둘 다 null이면 전체 대화 공유
• 범위 지정 시 해당 구간만 공유","Response (201 Created)
{ ""share_token"": ""string"",
  ""share_url"": ""https://.../shared/{token}"",
  ""expires_at"": ""ISO 8601"" | null }",
공유 링크 해제,채팅,DELETE,/api/v1/chats/{thread_id}/share,,,Response (204 No Content),
AI 응답 피드백,채팅,POST,/api/v1/feedback,,"Request Body:
{ ""thread_id"": ""string"",
  ""message_id"": ""string"",
  ""rating"": ""up"" | ""down"",
  ""comment"": ""string"" | null
}","Response (201 Created)
{ ""feedback_id"": ""uuid"",
  ""thread_id"": ""string"",
  ""message_id"": ""string"",
  ""rating"": ""up"" | ""down"",
  ""comment"": ""string"" | null,
  ""created_at"": ""ISO 8601"" }",
WS: 일반 대화 (GENERAL),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""안녕! 오늘 날씨 어때?"" }","응답 블록 순서:
intent → text_stream → done

의도 분류가 GENERAL일 때 일반 대화 응답.
텍스트만 스트리밍되고 별도 블록 없음",
WS: 에러 처리,채팅,WS,/api/v1/chat/ws,,,"Server → Client (에러 발생 시):
{ ""type"": ""error"",
  ""content"": {
    ""message"": ""string"",
    ""retryable"": true | false
  } }

FE: retryable=true이면 ""다시 시도"" 버튼 표시
WS 연결 끊김 시 자동 재연결 (exponential backoff)",
WS: 응답 재생성 (Retry),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""retry"" }","Server → Client:
마지막 assistant 메시지 삭제 후 동일 user 메시지로 재실행.
응답 블록이 새로 스트리밍됨",
WS: 응답 중단 (Interrupt),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""cancel"" }","Server → Client:
{ ""type"": ""done"",
  ""content"": {
    ""reason"": ""cancelled"",
    ""partial"": true
  } }

BE가 LangGraph 실행 중단 + LLM 스트리밍 종료. 지금까지 생성된 내용만 유지",
WS: 처리 상태 표시 (Status),채팅,WS,/api/v1/chat/ws,,,"Server → Client (본 응답 전에 노드 전환마다 전송):
{ ""type"": ""status"",
  ""content"": ""의도를 파악하고 있어요..."" }
{ ""type"": ""status"",
  ""content"": ""장소를 검색하고 있어요..."" }
{ ""type"": ""status"",
  ""content"": ""리뷰를 분석하고 있어요..."" }

→ text_stream 시작 시 FE에서 로딩 해제",
채팅 목록 조회,채팅,GET,/api/v1/chats,"• cursor: 페이지네이션 토큰
• limit: 기본 20",,"Response (200 OK)
{ ""items"": [
    { ""thread_id"": ""string"",
      ""title"": ""string"",
      ""last_message"": ""string"",
      ""updated_at"": ""ISO 8601"" }
  ],
  ""next_cursor"": ""string"" }",
채팅 상세 조회,채팅,GET,/api/v1/chats/{thread_id},,,"Response (200 OK)
{ ""thread_id"": ""string"",
  ""title"": ""string"",
  ""messages"": [
    { ""role"": ""user"" | ""assistant"",
      ""blocks"": [ { ""type"": ""string"", ""content"": {} } ],
      ""created_at"": ""ISO 8601"" }
  ] }",
대화 메시지 전체 조회,채팅,GET,/api/v1/chats/{thread_id}/messages,"• cursor: 페이지네이션 토큰
• limit: 기본 50",,"Response (200 OK)
{ ""items"": [
    { ""message_id"": ""string"",
      ""role"": ""user"" | ""assistant"",
      ""blocks"": [
        { ""type"": ""string"",
          ""content"": {} }
      ],
      ""created_at"": ""ISO 8601"" }
  ],
  ""next_cursor"": ""string"" }

• 전체 메시지 append-only 원본
• 북마크 위치 이동 시 사용",
대화 제목 수정,채팅,PATCH,/api/v1/chats/{thread_id},,"Request Body:
{ ""title"": ""string"" }","Response (200 OK)
{ ""thread_id"": ""string"",
  ""title"": ""string"",
  ""updated_at"": ""ISO 8601"" }",
대화 삭제,채팅,DELETE,/api/v1/chats/{thread_id},,,"Response (204 No Content)

messages + bookmarks cascade 삭제",
WS: 중첩된 요청 대응 (Multi-Intent),채팅,WS,/api/v1/chat/ws,,,"Server → Client (복수 intent 순차 스트리밍):

[1번째 intent]
{ ""type"": ""intent"", ""content"": ""PLACE_RECOMMEND"" }
{ ""type"": ""status"", ""content"": ""장소를 검색하고 있어요..."" }
{ ""type"": ""text_stream"", ""content"": ""..."" }
{ ""type"": ""places"", ""content"": [...] }
{ ""type"": ""done_partial"" }

[2번째 intent]
{ ""type"": ""intent"", ""content"": ""EVENT_SEARCH"" }
{ ""type"": ""status"", ""content"": ""행사를 검색하고 있어요..."" }
{ ""type"": ""text_stream"", ""content"": ""..."" }
{ ""type"": ""events"", ""content"": [...] }
{ ""type"": ""done"" }

• done_partial: 다음 intent 남아있음
• done: 모든 intent 처리 완료",
WS: 중첩된 요청 대응 (Multi-Intent),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""홍대 카페 추천해주고, 이번 주말 전시회도 알려줘"" }","Server → Client (복수 intent 순차 스트리밍):

{ type: ""intent"", content: ""PLACE_RECOMMEND"" }
{ type: ""status"", content: ""장소를 검색하고 있어요..."" }
{ type: ""text_stream"", ... }
{ type: ""places"", ... }
{ type: ""map_markers"", ... }
{ type: ""done_partial"" }

{ type: ""intent"", content: ""EVENT_SEARCH"" }
{ type: ""status"", content: ""행사를 검색하고 있어요..."" }
{ type: ""text_stream"", ... }
{ type: ""events"", ... }
{ type: ""done"" }

• done_partial: 다음 intent가 남아있음
• done: 모든 intent 처리 완료",